song_id,title,artist,genre,energy,valence,danceability,tempo,mood_tags,context_tags,lyrics_theme,popularity
1,Blinding Lights,The Weeknd,synthwave,0.80,0.65,0.51,171,energetic|hype|night,driving|workout|party,hopeful,92
2,Sunset Drive,Artist A,indie-pop,0.42,0.71,0.58,96,chill|warm|sunset,evening|solo|driving,hopeful,78
3,Bad Guy,Billie Eilish,dark-pop,0.43,0.56,0.70,135,moody|dark|creepy,late night|workout,rebellious,89
4,Weightless,Marconi Union,ambient,0.05,0.10,0.15,70,calm|peaceful|sleepy,meditation|sleep|focus,peaceful,65
5,Bohemian Rhapsody,Queen,rock,0.83,0.55,0.40,143,epic|dramatic|theatrical,singalong|karaoke,triumphant,90
6,Lose Yourself,Eminem,hip-hop,0.89,0.59,0.69,86,hype|intense|motivational,workout|focus,triumphant,88
7,Get Lucky,Daft Punk,disco,0.81,0.86,0.79,116,happy|funky|groovy,party|dancing|driving,hopeful,85
8,Sweater Weather,The Neighbourhood,indie-rock,0.53,0.40,0.61,124,cozy|melancholic|chill,autumn|rainy evening|solo,romantic,87
9,Midnight City,M83,synthpop,0.78,0.48,0.70,105,epic|dreamy|nostalgic,driving|night|late night drive,hopeful,82
10,Take Five,Dave Brubeck,jazz,0.30,0.50,0.65,174,classy|relaxing|smooth,reading|morning|focus,peaceful,75
11,Gymnopedie No. 1,Erik Satie,classical,0.02,0.20,0.30,75,calm|melancholic|peaceful,sleep|rainy evening|reading,melancholic,78
12,Intro,The xx,indie-pop,0.30,0.40,0.60,120,dreamy|minimalist|chill,late night|focus|night,peaceful,80
13,Starlight,Muse,alternative-rock,0.85,0.50,0.55,122,epic|hopeful|energetic,driving|stargazing,hopeful,79
14,Lofi Rain,Chill Beats,lo-fi,0.15,0.30,0.50,80,chill|cozy|relaxing,rainy evening|focus|study,peaceful,70
15,Dynamite,BTS,pop,0.80,0.95,0.75,114,happy|joyful|energetic,party|dancing,joyful,86
16,Come Fly With Me,Frank Sinatra,jazz,0.45,0.65,0.60,130,classic|happy|classy,morning|travel,romantic,74
17,Stay,The Kid LAROI & Justin Bieber,pop,0.76,0.48,0.59,170,energetic|angsty|hype,driving|workout,heartbreak,88
18,So What,Miles Davis,jazz,0.25,0.45,0.55,135,cool|relaxing|smooth,late night|reading,peaceful,72
19,Mr. Brightside,The Killers,indie-rock,0.90,0.65,0.35,148,hype|angsty|nostalgic,singalong|party,heartbreak,87
20,Clair de Lune,Claude Debussy,classical,0.05,0.15,0.25,60,peaceful|dreamy|romantic,stargazing|sleep|rainy evening,peaceful,81
21,Level Up,Ciara,r&b,0.82,0.70,0.88,135,hype|energetic|motivational,workout|dancing,triumphant,73
22,Fix You,Coldplay,alternative-rock,0.40,0.20,0.30,138,sad|melancholic|hopeful,late night|rainy evening,hopeful,85
23,Ocean Eyes,Billie Eilish,pop,0.20,0.15,0.45,135,dreamy|sad|vulnerable,rainy evening|solo|sleep,romantic,84
